Dir   aB    eB   iB     aC    eC    iC    rBf       EBf     aBf   eBf    iBf       rCf       ECf       aCf    eCf    iCf   logtB    destB   logtC    destC
  1 27.5 0.335  0.0  334.9 0.103  76.0  23.32  -3.3e+37   27.49  0.32    0.5   99992.4   3.7e+34   -5926.0   6.89  106.9     6.0        -   5.834  ejected
  1 23.7 0.279  0.0  226.8 0.355  37.1  26.21  -3.9e+37   23.54  0.61   17.4   99820.4  -3.3e+33  67568.73    1.0   52.2     7.0        - 6.61058  ejected
  1 26.1 0.372  0.0  761.7 0.721 145.9  23.86  -3.5e+37   26.13  0.38    0.1   99976.0   7.6e+35   -291.35   52.0  162.5     6.0        - 5.24444  ejected
  1 26.4 0.012  0.0  470.0 0.584  60.0  26.62  -3.4e+37    26.4  0.02    0.0   99615.3   1.4e+36   -159.16 172.13   44.5     6.0        -  5.1366  ejected
  1 24.0 0.268  0.0  345.2 0.388  56.1  29.73  -3.8e+37   23.98  0.26    0.2  100004.8   9.2e+34  -2399.01  14.15  110.9     6.0        -  5.6386  ejected
  1 25.8  0.39  0.0   94.5 0.318  13.1  18.12  -4.2e+37   21.45  0.26    4.7   99988.4   6.7e+36    -32.88 146.26   70.4     5.0        - 4.79634  ejected
  1 25.5 0.059  0.0  492.7 0.662 147.4  26.07  -3.6e+37   25.45  0.05    0.0   99742.8   1.3e+36   -174.33   84.5   21.1     6.0        - 5.15195  ejected
  1 24.2 0.265  0.0   39.6 0.055  61.8  25.61  -5.6e+37   16.27  0.58   24.7   99315.4   3.4e+36    -65.03  80.06   98.7     6.0        - 5.06298  ejected
  1 25.8 0.382  0.0  378.9 0.198  84.4  22.37  -3.5e+37   25.84   0.4    0.1   99245.7   2.3e+34  -9515.18   2.22  176.6     7.0        - 6.05988  ejected
  1 23.4 0.315  0.0  160.3 0.117  12.3  16.98    -4e+37    22.9  0.38   12.5   99984.2  -3.9e+33  56820.38   0.96  151.1     7.0        - 6.47294  ejected
  1 25.6 0.345  0.0  151.3  0.51 144.4   30.6  -3.6e+37   25.27  0.72   37.0   99995.3   2.6e+35   -858.38   1.08   92.3     6.0        - 5.96365  ejected
  1 25.2 0.144  0.0  458.9 0.413  79.8  21.94  -3.6e+37   25.24  0.14    0.1   99909.8   5.7e+35   -390.53  26.82   35.0     6.0        -  5.2961  ejected
  1 27.9 0.471  0.0  441.6 0.694 125.5  46.76  -3.3e+37   27.19  0.76   24.9   44428.3  -9.3e+33  23870.32   0.87  127.2     9.0        -     9.0        -
  1 28.0 0.399  0.0  409.5  0.35  24.1  35.12  -3.3e+37   27.95   0.4    0.3  100013.2   8.6e+35   -257.32   60.0   11.3     6.0        - 5.23623  ejected
  1 26.6 0.273  0.0  178.1 0.588 150.9  18.64  -3.5e+37   25.73   0.4   14.7    3345.5  -1.4e+34  15690.74   0.81   86.7     9.0        -     9.0        -
  1 26.6  0.28  0.0  332.6 0.114  36.4  32.18  -3.4e+37   26.63  0.28    0.3   99943.1   2.9e+36    -77.19 141.02   73.3     5.0        - 4.96828  ejected
  1 26.0 0.395  0.0  253.6 0.602 179.6  17.98  -3.5e+37   25.95  0.38    0.0   99949.1   5.6e+34  -3968.85   8.62    0.7     6.0        - 5.79406  ejected
  1 25.5  0.12  0.0  561.7 0.695  54.5  26.15  -3.6e+37    25.5  0.12    0.1   99703.9   7.6e+35   -289.72  38.34   88.0     6.0        - 5.22998  ejected
  1 23.8 0.113  0.0  276.8 0.113  97.4  25.62  -3.8e+37   23.75   0.1    0.2  100003.0   5.9e+35   -375.41  88.51   90.5     6.0        - 5.30325  ejected
  1 26.6 0.242  0.0  612.7 0.575  86.6  24.96  -3.4e+37   26.56  0.23    0.1   99959.4   8.3e+34  -2669.75   8.14  146.7     6.0        - 5.68076  ejected
  1 25.3 0.236  0.0  211.5 0.119 128.0  29.63  -3.6e+37   25.33  0.25    0.2   99643.4   2.5e+33 -86901.24   1.14   92.4     7.0        - 6.13608  ejected
  1 26.2 0.385  0.0  205.4 0.266 147.8  16.72  -3.5e+37   26.15  0.39    0.4   99763.4     2e+36   -110.82 114.68   84.5     6.0        - 5.04727  ejected
  1 27.5 0.127  0.0  478.4 0.446 129.2  24.48  -3.3e+37    27.5  0.12    0.1   99868.7   4.8e+35   -460.33  28.89  132.0     6.0        - 5.32909  ejected
  1 26.3 0.196  0.0  378.2 0.602 170.6  24.91  -3.8e+37   23.99  0.06    0.2  100004.7   2.9e+36    -75.76 113.28  129.4     6.0        - 5.05362  ejected
  1 26.4 0.058  0.0  607.6 0.656 103.4  26.96  -3.5e+37   26.39  0.04    0.0  100007.6   2.5e+34  -8755.52   3.34   78.3     6.0        - 5.90874  ejected
  1 23.6   0.1  0.0   69.1 0.212  56.2  22.73  -3.9e+37   23.59  0.19   12.3   27053.5  -1.4e+34   16200.1   0.68  117.0     9.0        -     9.0        -
  2 24.8 0.491  0.0  197.2 0.291 119.2  36.98  -3.7e+37   24.79  0.49    0.0  100007.0     5e+36    -44.27 116.32   20.6     5.0        - 4.85492  ejected
  2 25.6 0.172  0.0  130.5 0.018  11.4  23.45  -3.6e+37    25.6  0.16    0.0   99986.9     4e+35   -558.12   40.6  129.8     6.0        - 5.39274  ejected
  2 25.6 0.264  0.0  144.9 0.594  41.7  29.68  -3.6e+37   25.63  0.27    0.2  100007.4   1.9e+36   -114.69 102.32   73.8     6.0        - 5.05362  ejected
  2 23.6 0.473  0.0  518.0 0.547  13.6  32.55  -3.9e+37   23.63  0.48    0.2   99907.9   1.5e+35  -1492.95  14.52  126.3     6.0        - 5.54266  ejected
  2 24.2 0.364  0.0  332.9 0.295   0.0  31.02  -4.9e+37   18.53  0.91    0.0   99995.5   1.2e+37     -17.9  36.92  178.1     5.0        - 4.69395  ejected
  2 23.5 0.338  0.0   56.8 0.101 147.3  19.06  -4.7e+37    19.4  0.17    4.5  100003.4   1.6e+36   -134.62  40.62   41.2     6.0        - 5.08699  ejected
  2 26.3 0.052  0.0  266.3 0.249  94.8  28.43  -3.5e+37   26.33  0.08    0.1   99876.1   5.3e+35   -414.43  74.04   37.0     6.0        - 5.32909  ejected
  2 24.8 0.259  0.0  242.2 0.205 129.7  18.53  -3.7e+37    24.8  0.26    0.4  100013.9   4.2e+35   -527.29  48.76   47.6     6.0        - 5.38984  ejected
  2 24.3 0.234  0.0  111.5 0.461  82.7  30.27  -3.8e+37   24.22   0.3   11.4   99989.5   1.8e+33 -120263.18    1.0   26.9     7.0        - 6.95905  ejected
  2 27.0 0.055  0.0  555.7 0.594 127.2  26.76  -3.4e+37    27.0  0.03    0.0   99941.6   1.7e+35  -1278.72  14.19    2.3     6.0        - 5.52064  ejected
  2 27.3 0.097  0.0  182.2 0.439 143.7  30.16  -3.3e+37   27.25  0.13   13.4    8705.8  -4.2e+34   5278.32   0.92  113.8     9.0        -     9.0        -
  2 23.8  0.18  0.0  173.7 0.293  96.5  23.74    -4e+37   23.01  0.24   19.8   99873.3   1.7e+34 -13230.28   1.01   37.9     7.0        - 6.26039  ejected
  2 27.0  0.26  0.0  238.6 0.665  72.1  28.92  -3.4e+37   26.97  0.27    0.2   99420.4   1.5e+36   -143.57   26.1   65.9     6.0        -  5.0899  ejected
  2 26.7 0.238  0.0  452.1  0.43 145.8  32.81  -3.4e+37   26.73  0.27    0.3   99990.8   2.1e+35   -1052.2  51.14   27.0     6.0        - 5.54369  ejected
  2 26.4 0.325  0.0  840.3 0.621 113.0  29.98  -3.5e+37   26.37  0.32    0.1   99701.5   5.2e+35   -423.24  24.83  157.7     6.0        - 5.32573  ejected
  2 24.7 0.383  0.0  168.3 0.621  10.0  14.11  -3.8e+37   24.18  0.84   66.3   12837.4  -3.2e+34   6962.85   0.95   46.3     9.0        -     9.0        -
  2 26.5 0.329  0.0  821.2 0.742  94.6  34.57  -3.4e+37   26.51  0.32    0.1   99985.6   7.9e+34  -2814.23   3.65  100.1     6.0        - 5.64913  ejected
  2 26.3 0.155  0.0  602.4 0.672  32.3  29.45  -3.5e+37   26.25  0.13    0.1  100013.0   1.1e+36   -205.76  97.31  145.7     6.0        - 5.18346  ejected
  2 24.9 0.139  0.0  262.2 0.278  69.2  32.19  -3.8e+37   23.79  0.66   64.6   10967.9  -3.2e+34   6828.46   0.83  134.3     9.0        -     9.0        -
  3 24.3 0.015  0.0  338.7  0.33  18.8  23.78  -3.7e+37   24.33  0.03    0.0   99989.8   2.3e+36    -98.29 131.91   60.8     6.0        - 5.02428  ejected
  3 28.0 0.415  0.0  589.0  0.43  87.2  38.66  -3.3e+37   28.01  0.41    0.4   99886.3   1.9e+35  -1156.85  14.59   53.8     6.0        - 5.49403  ejected
  3 27.1 0.065  0.0  287.3 0.641  37.6  30.62    -4e+37   23.04  0.38    5.9   99996.0   1.9e+36   -114.07  93.41  125.4     6.0        - 5.06605  ejected
